GPU Name,Performance
Intel Arc A380,"4,212"
Radeon Ryzen 5 7535HS,"4,180"
Radeon Ryzen 5 6600H,"4,160"
GRID V100D-8Q,"4,156"
GeForce GTX 680MX,"4,142"
Radeon RX 460,"4,112"
FirePro W8000,"4,096"
Radeon 660M Ryzen 5 7535HS,"4,078"
Radeon PRO Ryzen 5 PRO 6650U,"4,067"
RadeonT 660M Ryzen 5 7535HS,"4,042"
GeForce GTX 480,"4,040"
Radeon HD 7800-serie,"4,029"
Radeon Ryzen 7 4800H,"4,010"
GeForce GTX 660,"3,999"
P104-100,"3,996"
A40-24Q,"3,973"
Quadro K5000,"3,973"
GRID RTX8000-4Q,"3,961"
Quadro M2000,"3,955"
GeForce GTX 1050 with Max-Q Design,"3,946"
GRID P6-2Q,"3,926"
GeForce GTX 570,"3,916"
GeForce GTX 780M,"3,904"
Radeon Ryzen 9 PRO 6950HS,"3,902"
GeForce GTX 750 Ti,"3,901"
GRID M60-8Q,"3,884"
Radeon HD 8970M,"3,876"
Intel Arc A310,"3,876"
Radeon HD 7850,"3,854"
Radeon Ryzen 5 6600HS Creator Edition,"3,851"
Radeon Ryzen 5 7535U,"3,850"
Radeon HD 7970M,"3,847"
GRID RTX8000P-2Q,"3,843"
GRID P100-8Q,"3,841"
GRID M60-4Q,"3,831"
Radeon Ryzen 9 7900 12-Core,"3,825"
GRID V100-2Q,"3,811"
GeForce GTX 880M,"3,790"
Radeon Pro WX 4100,"3,764"
Barco MXRT 7500,"3,753"
Ryzen 7 PRO 6850HS with Radeon Graphics,"3,736"
GeForce MX450,"3,735"
GeForce GTX 965M,"3,730"
Ryzen 5 PRO 6650H with Radeon Graphics,"3,727"
Eng Sample: 100-000000545-40_Y,"3,692"
T400 4GB,"3,690"
Matrox LUMA A310,"3,690"
Ryzen 5 6600HS Creator Edition,"3,686"
Ryzen 5 7535HS with Radeon Graphics,"3,680"
Radeon Pro 560X,"3,678"
Ryzen 5 6600H with Radeon Graphics,"3,674"
Radeon Ryzen 5 PRO 6650U,"3,674"
T500,"3,665"
Radeon R9 M485X,"3,661"
Intel Arc A370M,"3,646"
Radeon RX 560,"3,642"
Radeon RX Vega M GL,"3,623"
T400,"3,619"
Radeon Ryzen 5 6600U,"3,589"
Quadro P620,"3,588"
Ryzen 5 PRO 6650U with Radeon Graphics,"3,575"
GRID RTX8000-2Q,"3,574"
GeForce GTX 680M KY_Bullet Edition,"3,569"
GRID M6-8Q,"3,568"
Quadro K2200,"3,545"
Microsoft Basic Display Adapter Ryzen 5 3550H,"3,537"
Ryzen 5 7535U with Radeon Graphics,"3,529"
Ryzen 5 PRO 6650U,"3,519"
GRID K520,"3,516"
GeForce GTX 775M,"3,505"
Quadro 7000,"3,505"
Tesla M10,"3,490"
Radeon Pro 560,"3,475"
Quadro M2000M,"3,459"
Radeon Pro 460,"3,453"
GRID T4-2Q,"3,451"
GeForce GTX 870M,"3,449"
Quadro K2200M,"3,441"
Tesla C2050 / C2070,"3,428"
NVIDIA A10-4Q,"3,425"
Radeon R9 M470X,"3,400"
GeForce GTX 960M,"3,400"
Radeon HD8970M,"3,369"
Radeon E8870PCIe,"3,368"
GeForce GTX 750,"3,356"
GRID M10-1Q,"3,351"
GeForce GTX 650 Ti BOOST,"3,349"
Radeon R9 M390X,"3,346"
GeForce GTX 590,"3,341"
Radeon Ryzen 9 7900X 12-Core,"3,326"
Tesla C2050,"3,323"
GRID P4-8Q,"3,299"
Tesla K40m,"3,281"
Quadro M1200,"3,266"
GRID T4-4Q,"3,260"
Quadro P600,"3,258"
GeForce 770M,"3,246"
Eng Sample: 100-000000534-40_Y,"3,237"
Radeon R9 M290X,"3,234"
Ryzen 5 6600U with Radeon Graphics,"3,233"
Ryzen 7 5800HS with Radeon Graphics,"3,214"
GeForce GTX 680M,"3,206"
Radeon RX 560X,"3,195"
Radeon R9 260,"3,182"
Radeon R7 260X,"3,163"
FirePro V7000,"3,162"
FirePro W7170M,"3,162"
Radeon Pro 555,"3,141"
Quadro K5100M,"3,121"
Radeon Pro 455,"3,113"
Intel G35 Express,"3,090"
Radeon HD 7790,"3,090"
GeForce GTX 470,"3,082"
Radeon R7 360,"3,072"
EIZO MED-X5000,"3,038"
GeForce GTX 860M,"3,035"
GeForce GTX 560 Ti,"3,033"
Radeon R9 360,"3,032"
Tesla C2075,"3,017"
Radeon HD 6990,"3,013"
GRID M10-4Q,"2,977"
FirePro W5100,"2,970"
FirePro W5000,"2,965"
GRID K260Q,"2,949"
Tesla K20Xm,"2,918"
Ryzen 9 5900HX with Radeon Graphics,"2,914"
Quadro M1000M,"2,902"
Radeon R7 260,"2,892"
Quadro K1200,"2,889"
Ryzen 7 PRO 4700G with Radeon Graphics,"2,880"
Eng Sample: 100-000000261-50_Y,"2,860"
Radeon Pro V340 MxGPU,"2,853"
Radeon Ryzen 7 5800HS,"2,852"
Tesla C2070,"2,840"
GRID K280Q,"2,840"
Radeon HD 6970,"2,832"
Quadro M620,"2,827"
GeForce MX350,"2,821"
FirePro W4300,"2,813"
FirePro 3D V9800,"2,812"
Ryzen 7 5700G with Radeon Graphics,"2,806"
GeForce GTX 770M,"2,791"
Radeon 740M,"2,772"
Radeon R9 M380,"2,770"
Quadro K5000M,"2,763"
Radeon Ryzen 9 5900H,"2,755"
Custom GPU 0405,"2,754"
FirePro M6100 FireGL V,"2,749"
Radeon Ryzen 9 5980HS,"2,749"
Ryzen 7 5800H with Radeon Graphics,"2,748"
GeForce GTX 675MX,"2,744"
GRID K2,"2,737"
FirePro S7150,"2,727"
FirePro V9800,"2,727"
Radeon Pro 450,"2,723"
GeForce GTX 560,"2,715"
Ryzen 9 4900H with Radeon Graphics,"2,714"
Radeon Ryzen 7 5800H,"2,704"
Quadro K4000,"2,703"
GRID T4-1Q,"2,703"
Radeon RX 550,"2,702"
Barco MXRT 5500,"2,702"
Quadro 6000,"2,696"
Radeon HD 8950,"2,693"
GRID M10-2Q,"2,692"
Radeon Ryzen 7 4700GE,"2,686"
Intel Iris Xe,"2,685"
GeForce GTX 465,"2,684"
Ryzen 7 Pro 4750G with Radeon Graphics,"2,682"
Radeon Eng Sample: 100-000000300-40_Y,"2,670"
Ryzen 7 5700GE with Radeon Graphics,"2,656"
FirePro R5000,"2,647"
Quadro K4100M,"2,640"
GRID P6-4A,"2,639"
MONSTER GeForce GTX 675M,"2,637"
Ryzen 7 PRO 7730U with Radeon Graphics,"2,634"
Radeon HD 6950,"2,630"
GRID M10-8Q,"2,606"
Radeon Ryzen 7 PRO 4750G,"2,602"
Ryzen 5 5600GE with Radeon Graphics,"2,602"
GRID T4-2B,"2,601"
Radeon Ryzen 7 4700G,"2,597"
GeForce GTX 950M,"2,593"
Radeon Ryzen 7 PRO 7730U,"2,585"
Ryzen 5 5600G with Radeon Graphics,"2,575"
Radeon Ryzen 9 4900H,"2,571"
GeForce GTX 950A,"2,568"
Ryzen 7 PRO 4750GE with Radeon Graphics,"2,550"
Ryzen 7 PRO 5750GE with Radeon Graphics,"2,547"
GRID K240Q,"2,541"
GeForce GTX 650 Ti,"2,535"
Radeon HD 6850 X2,"2,534"
Ryzen 9 5980HS with Radeon Graphics,"2,534"
GeForce GTX 850M,"2,532"
FireStream 9370,"2,528"
N18E-Q1,"2,525"
Ryzen 5 PRO 5650G with Radeon Graphics,"2,501"
